"fdc_id";"description";"is_vegan";"Ca";"CALORIES";"Carbohydrate";"Cholesterol";"Dietary  Fiber";"FAT";"Fat, saturated";"Fe";"K";"Na";"Protein";"Total Trans FA";"Vitamin A";"Vitamin C"
752354;"MORNINGSTAR FARMS VEGGIE BURGERS GRILLERS CALIFORNIA TURK'Y 9OZ";TRUE;80;155;12.6;1;7.6;7.7;0.8;2.5;531;690;14.9;0.1;0;0
752366;"MORNINGSTAR FARMS VEGGIE BURGERS GARDEN VEGGIE 56OZ";TRUE;86;174;15.5;2;3.3;6.3;0.9;1.5;254;537;16.4;0;0;0
752372;"MORNINGSTAR FARMS VEGGIE BURGERS VEGI MAX 36OZ 4CT";TRUE;66;170;15.3;1;4.1;5.9;0.9;1.3;224;616;17.1;0;0;0
752374;"MORNINGSTAR FARMS VEGGIE BURGERS SPICY BLACK BEAN 38.1OZ";TRUE;80;158;18.1;1;6.8;5.8;0.8;1.5;321;452;14.1;0.1;0;0
752378;"Morningstar Farms Veggie Burgers Spicy Black Bean 50.8oz";TRUE;80;158;18.1;1;6.8;5.8;0.8;1.5;321;452;14.1;0.1;0;0
752382;"MORNINGSTAR FARMS VEGGIE BURGERS GRILLERS CALIFORNIA TURK'Y 9OZ";TRUE;80;155;12.6;1;7.6;7.7;0.8;2.5;531;690;14.9;0.1;0;0
752862;"MORNINGSTAR FARMS VEGGIE BURGERS SPICY BLACK BEAN 50.8OZ";TRUE;80;158;18.1;1;6.8;5.8;0.8;1.5;321;452;14.1;0.1;0;0
753460;"BANQUET Cheese Burger Sliders, 11.7 OZ";FALSE;91;299;24.46;27;2.7;16.3;7.25;2.45;217;716;13.59;0.91;91;0
753538;"BANQUET - Cheeseburger Breadstick, 4.91 OZ";FALSE;14;187;32.37;4;2.9;3.6;0.72;0.78;277;245;6.47;0;647;0
754720;"KID CUISINE Cheeseburger Meal, 7 OZ";FALSE;40;177;26.77;13;3;5.05;1.77;0.91;268;227;7.07;0;0;27.3
754824;"Banquet Cheeseburger Sliders, 8-Count, 15.6 OZ";FALSE;91;300;24.55;27;2.7;16.36;7.27;2.45;218;709;13.64;0.91;0;0
755218;"CHEF BOYARDEE Cheeseburger Maxx Pasta, 7.25 OZ";FALSE;10;73;13.17;2;1.5;0.73;0.24;0.7;239;254;3.41;0;98;0
755362;"Chef Boyardee Cheesy Burger Macaroni, 15 oz, 15 OZ";FALSE;16;71;10.67;4;1.2;1.58;0.59;0.57;107;296;3.16;0;0;0
756322;"MARIE CALLENDERS Smoky Cheddar Burger Family Recipes, 8.28 OZ";FALSE;53;368;68.42;0;2.6;2.63;0;1.89;316;1658;13.16;0;0;0
756626;"BANQUET Homestyle Bakes Cheeseburger Mac";FALSE;31;125;18.75;8;1;3.12;1.56;0.94;146;406;5.21;0;156;0
758012;"Gardenburger Veggie Burgers Malibu 38.5oz";TRUE;39;185;23;0;4.6;9.3;1.1;0.9;305;482;4.7;0.2;0;0
758040;"Morningstar Farms Veggie Burgers Spicy Chipotle Black Bean 4.25oz 48ct";TRUE;80;158;18.1;1;6.8;5.8;0.8;1.5;321;452;14.1;0.1;0;0
759062;"Supreme Cheese Pizza Hamburger Helper";FALSE;57;343;71.43;0;2.9;2.86;0;2.06;0;1657;11.43;0;286;0
759070;"Cheesy Italian Beef Hamburger Helper";FALSE;0;345;68.97;0;3.4;1.72;0;2.48;0;2034;10.34;0;0;0
759072;"Cheese Lover's Lasagna Hamburger Helper";FALSE;0;355;70.97;0;3.2;3.23;0;2.32;0;2032;9.68;0;0;0
759106;"Lasagna Hamburger Helper Twin Pack";FALSE;0;361;75;0;2.8;2.78;0;2.78;278;1528;8.33;0;0;0
760158;"Cheddar Cheese Melt Hamburger Helper Twin Pack";FALSE;0;370;74.07;0;3.7;1.85;0;2.59;370;2074;11.11;0;0;0
761182;"Chili Macaroni Hamburger Helper Twin Pack";FALSE;0;333;73.33;0;3.3;1.67;0;2.4;0;1467;10;0;1333;0
761332;"TOTINOS PIZZA ROLLS BRND PIZZA SNACKS CHEESEBURGER FLVR";FALSE;71;247;34.12;12;2.4;9.41;2.35;2.12;0;400;8.24;0;353;0
771494;"Totino's Cheeseburger Pizza Rolls 50 Count. Pizza in a Golden Crust";FALSE;71;235;34.12;12;1.2;9.41;2.35;2.12;0;400;7.06;0;118;0
771896;"CAMPBELL'S CHUNKY SOUP SIRLOIN BURGER";FALSE;12;50;7.5;4;1.2;1.25;0.42;0.46;142;329;2.5;0;0;0
771902;"CAMPBELL'S CHUNKY SOUP SIRLOIN BURGER";FALSE;12;50;7.5;4;1.2;1.25;0.42;0.46;142;329;2.5;0;0;0
771932;"CAMPBELL'S CHUNKY SOUP SIRLOIN BURGER";FALSE;12;50;7.5;4;1.2;1.25;0.42;0.46;142;329;2.5;0;0;0
772004;"CAMPBELL'S CHUNKY SOUP SIRLOIN BURGER";FALSE;12;50;7.5;4;1.2;1.25;0.42;0.46;142;329;2.5;0;0;0
772148;"CAMPBELL'S CHUNKY SOUP SIRLOIN BURGER";FALSE;12;50;7.5;4;1.2;1.25;0.42;0.46;142;329;2.5;0;0;0
896456;"LEMON DILL SALM'N BURGERS, LEMON DILL SALM'N";FALSE;85;168;7.08;0;5.3;11.5;0.88;1.77;457;372;12.39;0;0;0
901578;"BEETROOT & BEAN BURGER, BEETROOT & BEAN";TRUE;27;227;34.67;0;8;9.33;1.33;1.6;133;520;5.33;0;0;0
943672;"CHUNKY SIRLOIN BURGER WITH COUNTRY VEGETABLES SOUP, CHUNKY";FALSE;16;57;6.94;6;1.2;2.04;0.82;0.41;0;318;2.86;0;0;0
944224;"CHUNKY SIRLOIN BURGER WITH COUNTRY VEGETABLES SOUP, CHUNKY SIRLOIN BURGER WITH COUNTRY VEGETABLES";FALSE;12;61;8.16;6;1.2;1.63;0.61;0.41;0;322;2.86;0;0;0
1040041;"TURKEY BURGERS";FALSE;18;179;0;89;0;13.39;3.57;1.29;0;143;14.29;0;89;1.1
1042843;"QUINOA & BROWN RICE PROTEIN BURGERS, QUINOA & BROWN RICE";TRUE;0;240;13.75;0;9.4;15.25;2.62;3.25;0;618;12.88;0;0;0
1065333;"[FLAME GRILLED] PROTEIN BURGER PATTIES";TRUE;144;141;7.04;0;5.6;2.11;0;4.23;239;479;22.54;0;0;0
1065337;"[FLAME GRILLED] PROTEIN BURGER";TRUE;144;141;8.45;0;5.6;1.41;0;4.23;211;451;22.54;0;0;0
1079263;"NATURAL AMERICAN STYLE KOBE BEEF BURGERS, NATURAL AMERICAN STYLE";FALSE;21;254;0;70;0;19.72;7.75;1.9;268;67;16.9;1.06;0;0
