"row_n";"Ca";"CALORIES";"Carbohydrate";"Cholesterol";"Dietary  Fiber";"FAT";"Fat, saturated";"Fe";"K";"Na";"Protein";"Total Trans FA";"Vitamin A";"Vitamin C"
"375005 FALSE";0;152;0;58;0;8.93;2.68;0;0;143;18.75;0;0;0
"375007 FALSE";0;98;0;58;0;2.23;0.45;0;0;161;20.54;0;0;0
"375008 FALSE";0;116;0;80;0;6.25;1.79;0.96;0;143;16.07;0;0;0
"375009 FALSE";0;196;0;94;0;15.18;4.46;0;0;170;15.18;0;0;0
"375011 FALSE";0;98;0;58;0;2.23;0.45;0;0;134;20.54;0;0;0
"375013 FALSE";0;188;0;80;0;13.39;4.02;0.32;0;134;16.96;0;0;0
"375021 FALSE";0;667;0;100;0;66.67;20;0;0;833;6.67;0;0;0
"375022 FALSE";0;89;0;62;0;0.45;0;0;0;98;19.64;0;0;0
"375024 FALSE";0;98;0;58;0;2.23;0.45;0;0;161;20.54;0;0;0
"377912 FALSE";0;195;0;58;0;15.04;5.31;1.27;0;982;12.39;0;0;0
"378165 FALSE";18;214;0;76;0;16.07;4.46;0.96;0;71;18.75;0;179;1.1
"378242 FALSE";18;161;0;80;0;8.93;2.23;0.96;0;85;19.64;0;89;3.2
"378251 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"378259 FALSE";18;214;0;85;0;15.18;4.46;0.96;0;76;16.96;0;179;2.1
"378335 FALSE";0;179;0;58;0;13.39;5.36;1.29;0;982;13.39;0;0;0
"378545 FALSE";0;98;3.57;49;0;1.79;0.45;0.96;0;393;16.07;0;179;0
"378546 FALSE";18;125;3.57;45;0;5.36;1.79;0.64;0;429;16.96;0;179;0
"378549 FALSE";0;89;1.79;54;0;1.79;0.45;0.96;0;170;16.96;0;0;0
"378552 FALSE";0;107;5.36;49;0;1.79;0.45;0.96;0;545;16.07;0;0;0
"378556 FALSE";18;98;3.57;49;0;1.79;0.45;0.96;0;295;16.96;0;89;0
"378557 FALSE";18;116;1.79;45;0;4.46;1.34;0.96;0;223;16.96;0;0;1.1
"378562 FALSE";0;125;0;45;0;5.36;1.79;1.29;0;857;18.75;0;0;0
"378627 FALSE";0;205;0;76;0;14.29;5.36;1.29;0;76;17.86;0;0;0
"378699 FALSE";0;214;0;76;0;15.18;4.46;0.96;0;259;18.75;0;179;1.1
"379983 FALSE";21;245;1.06;69;0;19.15;6.38;1.15;0;574;15.96;0;106;1.3
"381441 FALSE";0;143;1.79;76;0.9;8.04;2.68;0.64;0;679;16.96;0;0;0
"381442 FALSE";0;143;1.79;76;0.9;8.04;2.68;0.64;0;679;16.07;0;0;0
"381443 FALSE";0;179;0.89;54;0;10.71;2.23;0.96;0;518;19.64;0;0;0
"381782 FALSE";0;311;4.44;56;0;28.89;11.11;0.8;0;867;8.89;1.11;0;0
"382508 FALSE";0;98;3.57;58;0;1.34;0.45;2.41;0;652;18.75;0;0;0
"383482 FALSE";18;312;0;85;0;26.79;10.71;1.61;0;67;16.07;0;0;0
"383498 FALSE";18;250;0;71;0;19.64;8.04;1.61;0;67;16.96;0;0;0
"383555 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"383559 FALSE";24;153;1.18;59;0;8.24;2.94;0.42;0;224;18.82;0;0;0
"383597 FALSE";18;250;1.79;62;0;19.64;2.68;0.64;0;214;15.18;0;0;0
"386009 TRUE";33;132;23.14;0;5.8;2.07;0;2.98;438;372;7.44;0;413;4
"388618 FALSE";0;157;11.76;0;2;1.96;0;7.06;333;784;23.53;0;0;35.3
"390193 TRUE";73;109;9.09;0;3.6;0.91;0;4.91;509;491;18.18;0;0;0
"390230 TRUE";0;157;7.84;0;0;1.96;0;7.06;451;647;23.53;0;0;0
"390249 TRUE";0;128;4.26;0;0;2.13;0;7.66;319;915;21.28;0;0;0
"393824 FALSE";0;238;3.57;98;0;19.64;6.25;3.21;0;786;12.5;0;12500;4.3
"395850 FALSE";176;165;1.18;0;0;9.41;1.76;2.12;0;0;17.65;0;0;0
"396785 FALSE";0;107;3.57;54;0;1.19;0;0.86;0;1060;21.43;0;0;0
"396865 FALSE";0;219;12.5;47;0;14.06;6.25;0;0;562;6.25;0;625;0
"397584 FALSE";71;141;5.88;0;2.4;3.53;0;3.18;0;424;23.53;0;0;0
"397648 FALSE";0;116;0;71;0;2.68;0.45;0.32;0;45;22.32;0;0;0
"397870 FALSE";0;173;7.41;68;0;4.94;1.23;0;0;1000;24.69;0;0;0
"397966 FALSE";24;176;0;71;0;8.24;2.94;0.85;0;518;24.71;0;0;0
"397996 FALSE";0;143;1.79;54;0;5.36;1.79;0.64;0;821;19.64;0;0;0
"399476 FALSE";13;238;1.99;60;0.7;18.54;7.28;1.79;0;278;15.23;0.66;0;0.8
"401100 FALSE";0;219;0;53;0;15.79;5.26;1.58;0;246;17.54;0;0;0
"401150 FALSE";0;471;0;118;0;41.18;14.71;2.12;0;1824;29.41;0;0;0
"406466 FALSE";26;276;14.47;46;1.3;17.11;5.26;1.89;0;539;13.16;0;132;0
"406471 FALSE";26;276;14.47;46;1.3;17.11;5.26;1.89;0;539;13.16;0;132;0
"406477 FALSE";0;247;0;71;0;20;7.06;0.85;0;153;16.47;0;0;0
"406603 FALSE";0;188;0;85;0;14.29;4.02;0.64;0;125;13.39;0;0;0
"407450 FALSE";0;196;0;71;0;11.61;4.46;1.61;0;58;20.54;0;0;0
"408141 FALSE";0;223;0;80;0;16.96;8.04;2.41;0;85;17.86;0;0;0
"408190 FALSE";24;155;11.9;42;2.4;4.76;1.79;1.29;0;381;15.48;0;0;0
"411203 FALSE";0;135;0;73;0;8.33;2.08;0.75;0;646;16.67;0;0;0
"411237 FALSE";18;179;0;67;0;8.93;2.68;0.64;0;62;21.43;0;89;0
"411859 FALSE";35;124;0;75;0;5.31;1.77;1.59;0;372;19.47;0;0;0
"438730 FALSE";0;281;52.63;0;1.8;3.51;0;3.16;0;702;8.77;0;0;0
"447262 FALSE";0;250;0;71;0;19.64;8.04;1.61;0;67;16.96;0;0;0
"447263 FALSE";0;250;0;71;0;19.64;8.04;1.61;0;67;16.96;0;0;0
"447266 FALSE";0;179;0;67;0;9.82;4.02;2.41;0;67;19.64;0;0;0
"447856 FALSE";18;312;0;85;0;26.79;10.71;1.61;0;67;16.96;0;0;0
"447868 FALSE";20;250;0;70;0;20;8;1.8;0;65;17;0;0;0
"447870 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"448857 FALSE";0;179;0;62;0;9.82;4.02;1.61;0;49;21.43;0;0;0
"448886 FALSE";0;259;0;71;0;20.54;8.04;1.61;0;54;18.75;0;0;0
"449068 FALSE";0;357;0;71;0;32.14;12.5;1.93;0;1321;17.86;0;0;8.6
"449518 FALSE";0;304;5.36;62;0;28.57;10.71;1.29;482;857;10.71;0;0;0
"449944 FALSE";14;155;1.41;63;0;7.75;2.82;0.51;0;218;18.31;0;0;0
"449945 FALSE";19;155;1.41;61;0;7.98;2.82;0.51;0;221;18.78;0;0;0
"449947 FALSE";20;153;1.02;61;0;8.16;2.55;0.73;0;224;18.37;0;0;0
"451286 FALSE";0;340;10;70;0;28;12;0.72;0;1020;10;1;0;0
"452350 FALSE";0;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0;0;0
"452367 FALSE";18;133;0;57;0;5.36;2.68;2.41;0;71;21.43;0;0;0
"453571 TRUE";22;156;3.33;0;1.1;8.89;1.11;2;100;478;13.33;0;0;0
"459824 FALSE";27;170;1.79;62;0;9.82;4.02;1.21;0;455;17.86;0;134;2.7
"461247 FALSE";49;329;2.44;73;0;26.83;9.76;0.88;0;854;17.07;0;0;0
"461251 FALSE";58;333;1.45;80;0;27.54;10.14;1.04;0;696;17.39;0;290;1.7
"461252 FALSE";58;333;2.9;72;0;26.09;8.7;1.04;0;638;17.39;0;0;0
"461253 FALSE";58;333;1.45;80;0;27.54;10.14;1.04;0;725;17.39;0;0;0
"461254 FALSE";49;317;3.66;73;0;25.61;8.54;0.88;0;854;17.07;0;0;0
"461391 FALSE";0;386;1.75;61;0;36.84;10.53;0.63;0;789;12.28;0;0;0
"462217 FALSE";21;302;3.12;62;0;26.04;10.42;1.5;0;844;14.58;0;0;0
"462220 FALSE";61;327;4.08;56;1;28.57;10.2;0.73;0;663;14.29;0;510;2.4
"463049 FALSE";18;150;1.77;75;0;8.85;2.65;1.59;0;372;16.81;0;88;2.1
"463050 FALSE";0;293;1.01;91;0;25.25;10.1;2.73;0;404;15.15;1.01;0;0
"463648 FALSE";19;155;1.41;61;0;7.98;2.82;0.51;0;221;18.78;0;0;0
"463775 FALSE";27;253;1.33;67;0;21.33;9.33;0.96;0;533;16;0;133;1.6
"465811 FALSE";0;304;0;65;0;28.26;10.87;0.78;0;1174;13.04;0;0;0
"466506 FALSE";0;175;3.51;44;0;8.77;3.51;1.26;0;509;17.54;0;0;0
"466509 FALSE";0;175;3.51;44;0;8.77;3.51;1.26;0;509;17.54;0;0;0
"467152 FALSE";0;131;9.52;42;0;4.76;1.19;1.29;0;310;14.29;0;0;5.7
"468328 FALSE";13;305;1.32;66;0;26.49;9.27;0.72;0;669;14.57;0;0;0
"468576 FALSE";36;357;3.57;71;0;32.14;12.5;1.29;0;929;14.29;0;0;0
"469925 FALSE";0;196;1.79;58;0;14.29;5.36;0.64;0;312;16.07;0;0;0
"470066 FALSE";0;107;0;40;0;3.57;1.34;0.32;0;509;18.75;0;0;0
"470148 FALSE";0;125;1.79;54;0;4.46;1.79;0.64;0;839;19.64;0;0;0
"473795 FALSE";89;200;4.44;78;0;15.56;4.44;1.6;0;711;11.11;0;0;20
"473834 FALSE";13;176;0;65;0;9.93;3.97;2.26;0;66;19.87;0.66;0;0
"474356 FALSE";18;250;0;71;0;19.64;8.04;1.61;0;67;16.96;0;0;0
"474362 FALSE";18;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0;0;0
"474363 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"475393 FALSE";18;184;0;83;0;12.28;3.51;0.95;0;79;18.42;0;0;0
"479070 FALSE";0;240;1.33;67;0;18.67;6.67;0.96;0;573;16;0;0;0
"482516 FALSE";0;253;1.33;67;0;21.33;9.33;0.96;0;533;16;0;0;1.6
"482518 FALSE";0;253;1.33;67;0;21.33;9.33;0.96;0;533;16;0;0;1.6
"482732 FALSE";0;316;0;44;1.8;28.07;10.53;1.89;0;877;15.79;0;351;0
"482930 FALSE";0;336;0.71;104;0;26.43;9.29;1.93;0;529;24.29;0;0;0
"483228 FALSE";44;319;1.1;60;0;26.37;9.89;0.79;0;1000;12.09;0;110;0
"484098 FALSE";0;142;7.08;44;0;5.31;1.33;1.27;0;221;15.93;0;0;21.2
"484099 FALSE";35;211;10.53;70;0;12.28;3.51;0.63;0;772;14.04;0;0;0
"484102 FALSE";18;257;3.54;66;0;19.47;7.08;2.39;0;796;15.93;0.88;885;3.2
"484103 FALSE";0;113;1.76;62;0.4;2.46;0.53;0.38;0;278;20.42;0;106;1.7
"484104 FALSE";0;319;0;66;0;28.32;10.62;1.27;0;389;15.04;0.44;0;0
"484105 FALSE";0;230;0.88;62;0.9;18.58;7.08;1.59;0;301;15.04;0.88;885;8
"484106 FALSE";71;274;2.65;71;0;20.35;7.96;2.39;0;434;17.7;0.88;885;0
"484209 FALSE";0;286;3.57;80;0;19.64;8.93;1.93;0;786;21.43;0;0;0
"485829 FALSE";0;130;3.7;74;0;3.7;0;1.33;0;574;18.52;0;0;2.2
"487049 FALSE";0;312;0;0;0;26.79;0;0;0;0;15.18;0;0;0
"487094 FALSE";0;89;0;62;0;0.45;0;0;0;98;19.64;0;0;0
"487453 FALSE";0;250;0;71;0;19.64;8.04;1.61;0;67;16.96;0;0;0
"487455 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"488443 FALSE";0;195;0;53;0;12.39;6.19;1.59;0;53;20.35;0;0;0
"488444 FALSE";0;204;0;62;0;13.27;7.08;2.39;0;75;19.47;0.44;0;0
"491562 FALSE";0;153;1.18;82;0;3.53;1.18;0.85;0;659;28.24;0;0;0
"492785 TRUE";0;267;28.89;0;4.4;7.78;2.22;2.4;0;644;17.78;0;222;0
"494277 FALSE";0;223;0;89;0;17.86;5.36;0.32;0;71;15.18;0;0;0
"494278 FALSE";0;98;0;62;0;0.89;0;0;0;31;24.11;0;0;0
"494303 FALSE";0;143;0;89;0;5.36;1.79;0.64;0;491;24.11;0;0;1.1
"496351 FALSE";0;106;0;62;0;0.44;1.77;1.27;0;49;24.78;0;0;0
"499428 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"499430 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"501878 FALSE";0;107;0;45;0;1.34;0.45;0.64;0;67;23.21;0;0;0
"506031 FALSE";24;176;4.71;71;1.2;9.41;2.94;4.24;0;294;15.29;0;235;4.2
"506193 FALSE";0;152;0.89;54;0;8.93;4.46;2.41;0;58;19.64;0;0;0
"507604 FALSE";18;205;1.79;62;0.9;14.29;4.46;1.29;0;420;17.86;0;89;0
"507605 FALSE";18;205;1.79;62;0.9;14.29;4.46;1.29;0;420;17.86;0;89;0
"508381 FALSE";0;175;3.51;44;0;8.77;3.51;1.26;0;509;17.54;0;0;0
"508969 FALSE";0;321;1.79;71;0;28.57;10.71;0;0;768;12.5;0;0;0
"508990 FALSE";0;304;12.5;71;0;23.21;8.04;0.64;0;750;12.5;0;0;0
"509774 FALSE";18;188;0;112;0;13.39;4.02;0.64;0;71;16.07;0;89;0
"510338 FALSE";36;286;3.57;98;0;25;8.93;4.82;0;786;12.5;0;8929;4.3
"510384 FALSE";0;216;1.35;68;0;14.86;4.05;1.46;0;622;16.22;0;0;0
"510385 FALSE";18;179;0;67;0;9.82;3.12;1.29;0;143;20.54;0;0;0
"510961 FALSE";40;240;11;5;4;17;3;1.08;0;550;11;0.01;0;0
"511562 FALSE";36;134;0.89;58;0;4.46;1.79;1.61;0;571;21.43;0;0;0
"513932 FALSE";0;357;1.79;80;0;30.36;12.5;1.93;0;1286;17.86;0;0;0
"514313 FALSE";0;588;0;88;0;47.06;17.65;4.24;0;2941;41.18;0;0;0
"514974 FALSE";0;308;2.2;66;0;28.57;10.99;1.19;495;813;10.99;1.1;0;0
"515050 FALSE";0;152;0;62;0;7.14;3.12;2.41;0;67;20.54;0;0;0
"515139 FALSE";35;186;10.62;35;0.9;9.73;3.54;12.74;0;646;15.04;0;177;4.2
"515562 FALSE";0;179;1.79;80;0;12.5;5.36;2.57;0;1446;16.07;0;0;0
"516994 FALSE";0;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0.89;0;0
"517422 FALSE";0;321;1.79;54;0;32.14;12.5;3.21;0;625;7.14;0;4464;0
"520542 FALSE";0;259;0;103;0;22.32;7.14;0.96;0;67;15.18;0;0;0
"520546 FALSE";18;304;0;76;0;26.79;9.82;1.61;0;67;15.18;0;0;0
"520584 FALSE";0;134;0;103;0;6.25;1.79;0.32;0;76;18.75;0;0;0
"522872 FALSE";18;214;0;67;0;15.18;5.36;2.41;0;67;18.75;0;0;0
"523067 FALSE";18;152;0;62;0;7.14;2.68;2.41;0;67;21.43;0;0;0
"523227 FALSE";0;107;0;62;0;0.89;0;1.29;0;49;25;0;0;0
"524368 FALSE";9;177;0;65;0;9.73;3.54;2.23;0;66;20.35;0.88;0;0
"524448 FALSE";0;214;3.57;54;0;16.07;5.36;0;0;643;17.86;0;0;0
"530484 FALSE";20;150;3;60;0;4;0.6;0.72;0;630;23;0;0;1.2
"531700 FALSE";16;234;15.62;43;0;12.5;3.12;0.56;0;992;14.06;0;0;0
"534266 FALSE";0;179;0;67;0;9.82;4.02;2.41;0;67;19.64;0;0;0
"534425 FALSE";18;254;0;67;0;20.09;7.59;1.21;0;51;18.3;0;0;0
"534704 FALSE";0;107;0;62;0;0.89;0;1.29;0;49;25;0;0;0
"535682 FALSE";36;268;1.79;54;0;21.43;8.93;1.61;0;580;16.07;0;0;0
"536319 FALSE";67;295;1.34;70;0;23.49;10.07;1.81;0;510;19.46;0;134;0
"538388 FALSE";0;143;0;94;0;8.93;2.68;0.96;0;76;16.96;0;0;0
"538830 FALSE";36;286;0;80;0;23.21;8.93;0.96;0;76;16.07;0;0;0
"539036 FALSE";0;195;0;58;0;15.04;5.31;1.27;0;973;12.39;0;0;0
"539041 FALSE";0;116;0;62;0;0.45;0;0;0;49;25;0;0;0
"539593 FALSE";0;500;0;83;0;41.67;12.5;0;0;1833;33.33;0;0;20
"539595 FALSE";36;179;0;45;0;12.5;6.25;0.96;0;393;17.86;0;0;0
"540127 FALSE";0;294;2.35;71;0;25.88;9.41;0.85;0;1165;12.94;0;0;0
"540343 FALSE";0;170;0;71;0;10.71;3.12;0;0;36;18.75;0;0;0
"540344 FALSE";0;98;0;49;0;0.45;0;0;0;36;23.21;0;0;0
"540345 FALSE";0;134;0;80;0;6.25;1.79;0.32;0;71;19.64;0;0;0
"540415 FALSE";47;212;0;71;0;17.65;7.06;2.12;0;435;12.94;0;0;0
"541657 FALSE";0;133;0;53;0;5.31;2.65;2.39;0;58;21.24;0;0;0
"541971 FALSE";143;250;5.36;116;0;19.64;4.46;1.29;0;875;12.5;0;357;2.1
"543550 FALSE";67;275;1.34;70;0;22.15;8.72;1.81;0;597;18.12;0;67;0
"544116 FALSE";0;127;0;36;0;3.64;1.82;0.65;0;455;23.64;0;0;0
"544215 FALSE";0;212;0.88;71;0;10.62;2.65;0.96;0;752;27.43;0;0;0
"545843 FALSE";54;248;2.01;67;0.7;19.46;8.05;1.81;0;463;16.11;0;201;8.1
"545911 FALSE";67;275;1.34;70;0;22.15;8.72;1.81;0;597;18.12;0;67;0
"547382 FALSE";0;89;0.89;40;0;1.34;0.36;0.32;0;509;18.75;0;0;0
"549051 FALSE";71;236;15.71;43;1.4;12.86;5;1.93;0;543;15;0;0;1.7
"549075 FALSE";0;143;0;71;0;7.14;2.23;1.61;0;76;19.64;0;0;0
"549737 FALSE";0;268;0;71;0;24.11;8.04;1.61;0;562;10.71;0;0;0
"549904 FALSE";43;236;6.43;43;1.4;16.43;6.43;1.93;0;450;14.29;0;71;4.3
"550898 FALSE";43;171;1.43;64;0;8.57;3.57;0.77;0;514;20.71;0;71;0
"551641 FALSE";18;161;7.14;58;0.9;8.04;2.23;1.61;0;321;19.64;0;0;0
"554021 FALSE";0;143;0;71;0;7.14;2.23;0.96;0;71;18.75;0;89;0
"554453 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"554455 FALSE";13;213;0;67;0;15.33;6;1.8;0;67;18.67;0;0;0
"555067 FALSE";9;174;0;56;0;9.39;3.29;0.68;0;45;21.13;0;0;0
"555751 FALSE";0;89;1.79;18;0;1.79;0;1.29;0;1393;16.07;0;0;10.7
"557350 FALSE";18;98;2.68;45;0;2.23;0.45;0.64;0;393;15.18;0;0;1.1
"557377 FALSE";0;214;0;62;0;15.18;6.25;1.61;0;67;18.75;0;0;0
"557557 FALSE";0;607;0;80;0;62.5;23.21;0;0;2714;7.14;0;0;0
"557682 FALSE";0;153;7.06;35;0;2.94;0;0.85;0;800;24.71;0;0;0
"557756 FALSE";0;196;0;71;0;11.61;4.46;1.61;0;58;20.54;0;0;0
"557766 FALSE";0;241;0;62;0;16.96;7.14;1.61;0;62;19.64;0;0;0
"557767 FALSE";0;170;0;40;0;8.04;3.12;1.61;0;58;22.32;0;0;0
"557787 FALSE";0;196;0;71;0;11.61;4.46;1.61;0;58;20.54;0;0;0
"558175 FALSE";0;304;0;65;0;28.26;10.87;0.78;0;1174;13.04;0;0;0
"560468 FALSE";18;143;1.79;80;0.4;5.36;1.79;1.29;0;429;17.86;0;446;1.1
"560496 FALSE";0;232;1.79;80;0;14.29;7.14;3.21;0;875;25;0;0;0
"566364 FALSE";18;98;2.68;45;0;2.68;0.45;0.64;0;393;15.18;0;0;1.1
"566365 FALSE";18;89;2.68;40;0.9;1.79;0;0.64;0;393;15.18;0;0;2.1
"567039 FALSE";0;266;1.06;74;0;23.4;8.51;1.53;0;702;13.83;0;0;0
"567053 FALSE";0;304;0.89;80;0;26.79;9.82;1.61;0;545;15.18;0;0;0
"568382 FALSE";0;143;0;71;0;7.14;1.79;1.29;0;152;19.64;0;0;0
"568672 FALSE";14;193;19.29;46;0;6.43;2.14;0.77;0;650;12.86;0;0;0
"569033 FALSE";71;318;0;112;0;27.06;11.76;1.69;0;1788;18.82;0;0;0
"571799 FALSE";18;204;13.27;31;0.9;11.5;1.77;0.32;0;460;12.39;0;0;0
"573642 FALSE";0;321;0;71;0;28.57;10.71;2.57;0;893;14.29;0;0;0
"576800 FALSE";18;214;0;67;0;15.18;6.25;1.61;0;67;18.75;0.89;0;0
"576862 FALSE";0;134;0;62;0;6.25;2.23;0.96;0;62;20.54;0;0;0
"576911 FALSE";13;253;0;70;0;20;8;1.8;0;67;17.33;1.33;0;0
"576931 FALSE";0;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0.89;0;0
"576979 FALSE";70;158;10.53;0;1.8;7.02;0.88;3.16;281;228;12.28;0;702;0
"576980 FALSE";18;186;0;71;0;12.39;3.54;1.59;0;345;16.81;0;0;0
"577009 FALSE";18;133;0;62;0;3.98;1.33;0.64;0;62;23.01;0;0;0
"577037 FALSE";0;212;0;53;0;14.16;7.08;0.32;0;53;17.7;0;88;0
"577038 FALSE";0;106;0;49;0;2.65;0.88;3.19;0;44;21.24;0;0;0
"577039 FALSE";0;212;0.88;49;0;14.16;6.19;1.59;0;44;19.47;0;0;0
"577040 FALSE";0;133;0.88;53;0;4.42;2.21;2.39;0;49;21.24;0;0;0
"577041 FALSE";0;168;0;40;0;9.73;5.31;1.59;0;35;20.35;0;0;0
"577042 FALSE";0;212;0;49;0;15.04;7.08;1.59;0;44;20.35;0;88;0
"577043 FALSE";0;168;0.88;53;0;8.85;4.42;1.59;0;40;20.35;0;0;0
"577044 FALSE";0;115;0;49;0;3.1;1.33;2.39;0;44;21.24;0;0;0
"577045 FALSE";18;142;0;62;0;6.19;2.21;2.39;0;44;22.12;0;0;0
"577046 FALSE";0;133;0;53;0;4.42;2.21;2.39;0;44;22.12;0;0;0
"577047 FALSE";0;179;0;116;0;12.5;3.57;0.32;0;58;16.96;0;0;0
"577056 FALSE";0;188;0;54;0;11.61;7.14;0.96;0;58;18.75;0;0;1.1
"577057 FALSE";0;107;0;67;0;2.23;0.89;0.96;0;49;21.43;0;0;0
"577119 FALSE";18;214;0;89;0;15.18;4.02;1.29;0;71;18.75;0;670;2.1
"577120 FALSE";0;98;0;71;0;0.89;0;0.32;0;67;22.32;0;0;0
"577134 FALSE";0;214;0;71;0;15.18;6.25;1.61;0;67;18.75;0;0;0
"577182 FALSE";0;179;0;67;0;9.82;4.02;2.41;0;67;19.64;0;0;0
"577187 FALSE";18;195;0;75;0;12.39;4.42;1.59;0;53;20.35;0;0;0
"577188 FALSE";0;168;0;44;0;9.73;3.54;1.59;0;53;20.35;0;0;0
"577257 FALSE";0;232;0;71;0;17.86;7.14;1.61;0;71;17.86;0;0;0
"577266 FALSE";18;116;0;58;0;1.34;0;0.64;0;112;23.21;0;0;0
"577281 FALSE";18;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0;0;0
"577282 FALSE";18;214;0;67;0;15.18;6.25;2.41;0;67;18.75;0;0;0
"577295 FALSE";0;106;0;62;0;1.77;0.44;0.64;0;80;22.12;0;0;0
"577296 FALSE";18;161;0;67;0;8.93;3.12;2.41;0;76;19.64;0;0;0
"577347 FALSE";0;286;0;71;0;25;8.04;2.41;0;54;16.07;0.89;0;0
"577351 FALSE";0;259;0;103;0;22.32;7.14;0.96;0;67;15.18;0;0;0
"577382 FALSE";0;239;0;106;0;19.47;6.19;0.96;0;111;15.04;0.44;88;0
"577386 FALSE";0;214;0;98;0;16.96;4.46;0.64;0;76;16.07;0;89;0
"577399 FALSE";18;161;0;80;0;8.93;2.23;0.96;0;85;19.64;0;89;3.2
"577402 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"577458 FALSE";0;268;0;80;0;18.75;7.14;0.96;0;152;22.32;0;0;0
"577465 FALSE";0;93;0;398;0;3.81;1.27;9.15;0;68;16.1;0;12288;0
"577469 FALSE";0;143;0;54;0;8.04;3.57;3.21;0;62;18.75;0;0;0
"577470 FALSE";0;223;0;89;0;17.86;5.36;0.32;0;71;15.18;0;0;0
"577471 FALSE";0;134;0;103;0;6.25;1.79;0.32;0;76;18.75;0;0;0
"577472 FALSE";0;185;0;64;0;11.79;5;2.41;0;57;18.48;0;0;0
"577475 FALSE";0;179;0;67;0;9.82;4.02;2.41;0;67;19.64;0;0;0
"577476 FALSE";0;857;0;67;0;94.64;52.68;0;0;9;1.79;0;0;0
"577477 FALSE";0;177;0;53;0;13.27;5.31;1.27;0;973;13.27;0;0;0
"577478 FALSE";0;116;0;125;0;4.02;1.34;4.02;0;98;17.86;0;0;2.1
"577479 FALSE";0;161;0;58;0;8.04;3.12;2.41;0;67;21.43;0;0;0
"577480 FALSE";0;152;0;62;0;8.04;3.12;1.61;0;134;17.86;0;0;0
"577699 FALSE";0;214;0;62;0;15.18;6.25;1.61;0;49;19.64;0;0;0
"577762 FALSE";12;265;0;76;0;20.59;8.24;1.59;0;68;17.65;0;0;0
"577799 FALSE";0;170;0;67;0;8.93;3.57;2.41;0;80;21.43;0;0;0
"577888 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"577895 FALSE";18;116;0;85;0;5.36;1.34;0.96;0;85;19.64;0;89;0
"577900 FALSE";0;214;0;71;0;15.18;6.25;8928.57;0;67;18.75;0;0;0
"577901 FALSE";0;259;0;71;0;20.54;8.04;8928.57;0;54;18.75;0;0;0
"577947 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"577949 FALSE";18;214;0;85;0;15.18;4.46;0.96;0;76;16.96;0;179;2.1
"577950 FALSE";0;116;0;62;0;2.68;0.45;0.32;0;62;21.43;0;0;0
"577951 FALSE";18;107;0;58;0;0.89;0;0.64;0;67;23.21;0;0;1.1
"577952 FALSE";18;170;0;62;0;8.93;2.68;0.64;0;62;20.54;0;89;0
"578032 FALSE";0;98;0;62;0;0.89;0;0;0;31;24.11;0;0;0
"578039 FALSE";18;125;0;69;0;3.57;1.12;0.64;0;58;21.88;0;0;0
"578095 FALSE";18;214;0;85;0;15.18;4.46;1.29;0;67;16.96;0;893;2.1
"578104 FALSE";89;170;4.46;58;0.9;8.93;2.68;2.41;0;616;16.07;0;89;5.4
"578105 FALSE";18;170;0;98;0;11.61;3.12;0.32;0;268;15.18;0;0;0
"578132 FALSE";0;214;0;67;0;15.18;6.25;2.41;0;67;19.64;0;0;0
"578133 FALSE";13;253;0;70;0;20;8;1.8;0;67;17.33;0;0;0
"578147 FALSE";18;142;0;97;0;6.19;3.54;3.19;372;62;21.24;0;0;0
"578155 FALSE";0;125;0;54;0;4.02;1.79;2.41;0;76;21.43;0;0;0
"578159 FALSE";18;241;0;71;0;17.86;8.04;1.61;0;58;17.86;0;0;0
"578172 FALSE";0;152;0;58;0;7.14;2.68;2.41;0;62;20.54;0;0;0
"578276 FALSE";18;116;0;85;0;4.02;0.89;0.96;0;89;19.64;0;89;0
"578285 FALSE";0;188;0;54;0;11.61;7.14;0.96;0;58;18.75;0;0;1.1
"578289 FALSE";0;116;0;54;0;2.68;0.45;6.43;0;49;22.32;0;0;0
"578307 FALSE";18;170;0;62;0;9.82;3.12;0.96;0;67;19.64;0;0;0
"578319 FALSE";18;205;0;71;0;15.18;4.46;1.29;0;71;16.96;0;0;0
